network,date,fee_token,gwei_high,gwei_avg,gwei_median,gwei_low,cost_usd_high,cost_usd_avg,cost_usd_median,cost_usd_low,tx_count
Base,2025-04-02,ETH,294632.678008562,0.14357438881290213,0.002728803853016138,0.001034711,35930.719245904285,0.01751763638173982,0.000342345456308624,0.0001263828061764133,7255479
Optimism,2025-04-02,ETH,397.01759334,0.02894319899657876,0.001013814086779188,3.4992e-05,48.41665678474271,0.0035489222360910607,0.00013772343478214835,4.5380211857649644e-06,964993
Polygon PoS,2025-04-02,POL,779732.225934903,104.10230907508229,37.14363588677841,25.00000003,9.946408524487419,0.0013279483134889436,0.0004743931736740746,0.00031890462538268553,3554732
zkSync Era,2025-04-02,ETH,15.0,0.05613872052546256,0.04525,0.04525,1.8292634479166665,0.0068461672979918215,0.005518278067881945,0.005518278067881943,83664
Arbitrum One,2025-04-03,ETH,2.695335,0.07222376965313622,0.010005246334128002,0.01,0.3159972097467994,0.008467411170700316,0.0011725655920540575,0.0011723856579861104,2373403
Base,2025-04-03,ETH,4351.08339859,0.049034519409378925,0.0025033313574871407,0.000941596,510.1147818294719,0.005766176544050096,0.00031708715455221057,0.00011047156477207906,7517070
Optimism,2025-04-03,ETH,815.520029097,0.021936474993624527,0.0010442123323055946,0.000139415,95.61040130388436,0.0026009633539781168,0.00014500294415566048,1.65413588815424e-05,953180
Polygon PoS,2025-04-03,POL,990754.498150333,93.47994022710591,43.46096981216551,25.001947021,12.047273532221448,0.001136687657531889,0.000526827105186026,0.00030401607579115184,3237272
zkSync Era,2025-04-03,ETH,6.5,0.05381871972041001,0.04525,0.04525,0.7620506776909725,0.006309629513128298,0.005305045102387154,0.005305045102387153,75585
Arbitrum One,2025-04-04,ETH,0.320786,0.03166283883125242,0.011770696511720344,0.01,0.037638405366457635,0.003715058521827916,0.0013869107983889822,0.0011733182048611112,2158303
Base,2025-04-04,ETH,2331.924572001,0.055640906178268806,0.0022523340456315835,0.000516334,273.60895709937427,0.006534746821148232,0.0002709471724319762,6.074710522632545e-05,6943821
Optimism,2025-04-04,ETH,175.87767528,0.023694905529810448,0.0013277427729688383,8.5605e-05,20.636051343873827,0.0027923125618408303,0.00017181362947200706,1.0211363451044804e-05,813380
Polygon PoS,2025-04-04,POL,1257414.821784319,123.42852058378998,71.51228375858133,28.339968069,15.583380533227785,0.001529673081299567,0.0008834484310682637,0.0003512226029688901,2947620
zkSync Era,2025-04-04,ETH,6.5,0.05544866022654729,0.04525,0.04525,0.7626568331597223,0.006505892247886727,0.0053092648769965285,0.005309264876996527,76440
Arbitrum One,2025-04-05,ETH,0.310943,0.01254775441619135,0.01,0.01,0.036456929000925696,0.0014711782927173424,0.0011724634097222224,0.001172463409722222,1424133
Base,2025-04-05,ETH,5369.877137211,0.027860465870112358,0.0019791343555781906,0.000584023,629.5984472627604,0.0032700958284123324,0.0002355382014509757,6.854623778094805e-05,5903442
Optimism,2025-04-05,ETH,30.000000065,0.012930787307440553,0.0009568904105380893,0.000178996,3.5174098126035087,0.0015243001606671874,0.00012073354353233711,2.123384151751956e-05,741968
Polygon PoS,2025-04-05,POL,787785.978285714,59.15696904314189,36.16399737233911,25.000000017,9.671416099580636,0.00072625266071787,0.00044564610728051846,0.00030691762651078724,2760113
zkSync Era,2025-04-05,ETH,6.5,0.0533387778124028,0.04525,0.04525,0.7621012163194443,0.006253776530435279,0.005305396928993054,0.005305396928993054,50801
Arbitrum One,2025-04-06,ETH,4.906137,0.4735523899967929,0.05932670781332127,0.01,0.5555794050416863,0.05362588837011177,0.00678622952160482,0.001132417225694444,2698263
Base,2025-04-06,ETH,11329.521123473,0.11194030104853094,0.002090786833549029,0.000438322,1282.9744950844017,0.013109884857509064,0.0002654124858732855,5.2461815875881454e-05,7231135
Optimism,2025-04-06,ETH,1170.433903256,0.06586598999622449,0.002429712904242869,0.00019928,132.54198855469065,0.007913809930303687,0.0003184995308079355,2.2670901435966272e-05,1052634
Polygon PoS,2025-04-06,POL,98655842.26382394,330.19285737475724,61.796888237251025,25.000000033,1167.0429265261846,0.0039059951214869323,0.0007317039568072638,0.00029573588884523243,2919618
zkSync Era,2025-04-06,ETH,153.0,0.056824719595377146,0.04525,0.04525,17.325983553124992,0.006434929131497612,0.005124187946267359,0.005124187946267358,80184
Arbitrum One,2025-04-07,ETH,11.665921,0.4281377603092276,0.0283288480561406,0.01,1.168108029724612,0.042869410451652094,0.002835142777452706,0.001001299451388889,3099402
Base,2025-04-07,ETH,4971.163996727,0.15711009798917203,0.00245532720773856,8.2707e-05,497.7645815847083,0.01714255587980261,0.0006679229911879601,1.0255554380269151e-05,7668059
Optimism,2025-04-07,ETH,933.74239849,0.0877651679377657,0.004510910297707863,0.000641407,93.49568995040183,0.010042453895465374,0.0009808139676675156,7.470972553785212e-05,1099492
Polygon PoS,2025-04-07,POL,1762543.580182268,511.6127833404546,115.87232783357338,25.000000022,19.263752556499362,0.005591681348380192,0.0012777513198932947,0.0002732379611779494,3100926
zkSync Era,2025-04-07,ETH,6.5,0.05584599837727823,0.04525,0.04525,0.6508446434027779,0.005591856753737025,0.004530880017534723,0.004530880017534723,109817
