Date,Price,Open,High,Low,Vol.,Change %
5/17/2024,2.5586,2.535,2.5634,2.5294,29.29K,1.38%
5/20/2024,2.5279,2.5625,2.5661,2.5144,30.48K,-1.20%
5/21/2024,2.4982,2.5325,2.5325,2.479,20.92K,-1.17%
5/22/2024,2.4587,2.488,2.4943,2.4525,30.37K,-1.58%
5/23/2024,2.4565,2.4552,2.503,2.4448,27.32K,-0.09%
5/24/2024,2.4696,2.46,2.4863,2.439,24.92K,0.53%
5/27/2024,2.4997,2.4795,2.505,2.4718,3.71K,1.22%
5/28/2024,2.5018,2.4938,2.5142,2.488,30.53K,0.08%
5/29/2024,2.4599,2.5071,2.5252,2.4529,26.61K,-1.67%
5/30/2024,2.4035,2.452,2.4593,2.3968,18.90K,-2.29%
5/31/2024,2.3991,2.3775,2.4183,2.3775,35.50K,-0.18%
6/3/2024,2.3229,2.4016,2.4132,2.3172,36.71K,-3.18%
6/4/2024,2.3256,2.3175,2.3328,2.2872,50.77K,0.12%
6/5/2024,2.3355,2.314,2.3459,2.31,39.32K,0.43%
6/6/2024,2.3765,2.3487,2.3826,2.3387,42.09K,1.76%
6/7/2024,2.3661,2.3824,2.3931,2.3582,39.81K,-0.44%
6/10/2024,2.3983,2.37,2.4088,2.3595,34.11K,1.36%
6/11/2024,2.3957,2.4171,2.4171,2.3762,47.20K,-0.11%
6/12/2024,2.3833,2.4165,2.4366,2.3781,49.89K,-0.52%
6/13/2024,2.402,2.3706,2.4089,2.3575,45.54K,0.78%
6/14/2024,2.3877,2.3962,2.4316,2.3873,44.95K,-0.60%
6/17/2024,2.4301,2.3955,2.435,2.3731,27.73K,1.78%
6/18/2024,2.4652,2.4383,2.4728,2.4218,25.38K,1.44%
6/19/2024,2.4767,2.485,2.4975,2.4683,12.25K,0.47%
6/20/2024,2.4851,2.4777,2.5003,2.4723,27.23K,0.34%
6/21/2024,2.4966,2.4775,2.5213,2.4775,30.89K,0.46%
6/24/2024,2.495,2.484,2.5028,2.471,28.17K,-0.06%
